2023-12-04 21:53:44 INFO  GraphReader:54 - graphs/add20.graph. Nodes: 2395, Edges: 7462
2023-12-04 21:53:44 INFO  GraphReader:145 - Color Distribution : [ Color: 0, Count: 598 ] [ Color: 1, Count: 599 ] [ Color: 2, Count: 599 ] [ Color: 3, Count: 599 ] 
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 166, edge cut:1829, swaps: 331405, migrations: 1778
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 167, edge cut:1829, swaps: 333388, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 168, edge cut:1829, swaps: 335329, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 169, edge cut:1829, swaps: 337303, migrations: 1778
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 170, edge cut:1829, swaps: 339271, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 171, edge cut:1829, swaps: 341264, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 172, edge cut:1829, swaps: 343219, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 173, edge cut:1829, swaps: 345225, migrations: 1777
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 174, edge cut:1829, swaps: 347201, migrations: 1779
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 175, edge cut:1829, swaps: 349197, migrations: 1778
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 176, edge cut:1829, swaps: 351154, migrations: 1778
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 177, edge cut:1830, swaps: 353146, migrations: 1776
2023-12-04 21:53:50 INFO  Jabeja:253 - round: 178, edge cut:1830, swaps: 355103, migrations: 1777
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 179, edge cut:1830, swaps: 357089, migrations: 1776
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 180, edge cut:1830, swaps: 359049, migrations: 1779
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 181, edge cut:1830, swaps: 360993, migrations: 1775
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 182, edge cut:1830, swaps: 362978, migrations: 1777
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 183, edge cut:1829, swaps: 364929, migrations: 1778
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 184, edge cut:1829, swaps: 366918, migrations: 1774
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 185, edge cut:1829, swaps: 368938, migrations: 1776
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 186, edge cut:1829, swaps: 370892, migrations: 1779
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 187, edge cut:1829, swaps: 372872, migrations: 1778
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 188, edge cut:1829, swaps: 374829, migrations: 1779
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 189, edge cut:1828, swaps: 376816, migrations: 1784
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 190, edge cut:1828, swaps: 378798, migrations: 1784
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 191, edge cut:1828, swaps: 380771, migrations: 1784
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 192, edge cut:1828, swaps: 382726, migrations: 1786
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 193, edge cut:1828, swaps: 384696, migrations: 1785
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 194, edge cut:1828, swaps: 386672, migrations: 1785
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 195, edge cut:1828, swaps: 388652, migrations: 1782
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 196, edge cut:1829, swaps: 390607, migrations: 1786
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 197, edge cut:1829, swaps: 392606, migrations: 1784
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 198, edge cut:1829, swaps: 394584, migrations: 1786
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 199, edge cut:1829, swaps: 396540, migrations: 1785
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 200, edge cut:1829, swaps: 398520, migrations: 1785
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 201, edge cut:1829, swaps: 400533, migrations: 1786
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 202, edge cut:1829, swaps: 402500, migrations: 1786
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 203, edge cut:1829, swaps: 404439, migrations: 1787
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 204, edge cut:1829, swaps: 406381, migrations: 1788
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 205, edge cut:1829, swaps: 408349, migrations: 1788
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 206, edge cut:1828, swaps: 410315, migrations: 1787
2023-12-04 21:53:51 INFO  Jabeja:253 - round: 207, edge cut:1828, swaps: 412331, migrations: 1787
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 208, edge cut:1828, swaps: 414314, migrations: 1785
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 209, edge cut:1827, swaps: 416281, migrations: 1788
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 210, edge cut:1827, swaps: 418273, migrations: 1791
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 211, edge cut:1827, swaps: 420258, migrations: 1791
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 212, edge cut:1826, swaps: 422238, migrations: 1788
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 213, edge cut:1825, swaps: 424218, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 214, edge cut:1823, swaps: 426191, migrations: 1791
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 215, edge cut:1823, swaps: 428180, migrations: 1790
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 216, edge cut:1823, swaps: 430155, migrations: 1787
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 217, edge cut:1824, swaps: 432109, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 218, edge cut:1823, swaps: 434061, migrations: 1790
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 219, edge cut:1823, swaps: 436014, migrations: 1790
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 220, edge cut:1823, swaps: 437983, migrations: 1791
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 221, edge cut:1822, swaps: 439959, migrations: 1790
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 222, edge cut:1822, swaps: 441945, migrations: 1789
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 223, edge cut:1823, swaps: 443938, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 224, edge cut:1822, swaps: 445925, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 225, edge cut:1822, swaps: 447889, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 226, edge cut:1822, swaps: 449847, migrations: 1787
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 227, edge cut:1822, swaps: 451827, migrations: 1789
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 228, edge cut:1822, swaps: 453788, migrations: 1788
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 229, edge cut:1821, swaps: 455751, migrations: 1787
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 230, edge cut:1821, swaps: 457742, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 231, edge cut:1821, swaps: 459713, migrations: 1785
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 232, edge cut:1821, swaps: 461660, migrations: 1786
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 233, edge cut:1821, swaps: 463626, migrations: 1785
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 234, edge cut:1820, swaps: 465607, migrations: 1789
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 235, edge cut:1820, swaps: 467597, migrations: 1788
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 236, edge cut:1820, swaps: 469581, migrations: 1790
2023-12-04 21:53:52 INFO  Jabeja:253 - round: 237, edge cut:1820, swaps: 471546, migrations: 1787
2023-12-04 21:53:53 INFO  Jabeja:253 - round: 238, edge cut:1820, swaps: 473510, migrations: 1788
